State,Abb_State,Total_Hospital_Beds,Total_ICU_Beds,Adult_Population,Population_O65
Alaska,AK,1583,130,552319,74340
Alabama,AL,13959,1870,3748089,762032
Arkansas,AR,8428,856,2272226,476167
Arizona,AZ,12868,1742,5187520,1106362
California,CA,68554,8131,29868127,5148448
Colorado,CO,9620,1264,4185186,707396
Connecticut,CT,6894,731,2831746,575757
District of Columbia,DC,2405,401,554333,79769
Delaware,DE,1864,249,739679,160565
Florida,FL,51190,6226,16166865,3926889
Georgia,GA,23831,2703,7702432,1300430
Hawaii,HI,2623,219,1114075,238126
Iowa,IA,9309,622,2389398,501026
Idaho,ID,3267,333,1222764,242449
Illinois,IL,30006,3426,9895529,1847932
Indiana,IN,17433,2358,5036563,968568
Kansas,KS,9120,878,2185546,426273
Kentucky,KY,13150,1447,3411784,672706
Louisiana,LA,13881,1518,3550728,655848
Massachusetts,MA,13759,1555,5405787,1049751
Maryland,MD,11249,1227,4648466,849185
Maine,ME,3310,288,1073331,250131
Michigan,MI,24286,2749,7717047,1575233
Minnesota,MN,13423,1277,4204388,803718
Missouri,MO,17087,2092,4685891,956032
Mississippi,MS,11877,931,2259919,437027
Montana,MT,3667,248,803704,176138
North Carolina,NC,21065,3168,7762882,1514937
North Dakota,ND,3371,278,575105,107196
Nebraska,NE,5872,548,1424102,278598
New Hampshire,NH,2598,252,1067991,219293
New Jersey,NJ,20450,1891,6960340,1353999
New Mexico,NM,3460,460,1587101,328682
Nevada,NV,5610,1118,2217723,420330
New York,NY,51713,4420,15594924,3008351
Ohio,OH,28127,3622,8982588,1844642
Oklahoma,OK,10781,1164,2939976,574330
Oregon,OR,6789,837,3160871,655089
Pennsylvania,PA,32817,3643,10101588,2181022
Puerto Rico,PR,7769,739,2737636,629621
Rhode Island,RI,2117,279,845556,170144
South Carolina,SC,11457,1459,3802489,795256
South Dakota,SD,4247,150,644483,132118
Tennessee,TN,18401,2309,5099734,1013356
Texas,TX,55588,7149,20206495,3215906
Utah,UT,4869,687,2082530,307095
Virginia,VA,17469,2007,6499678,1187867
Vermont,VT,1305,94,504856,109551
Washington,WA,11808,1493,5554591,1029040
Wisconsin,WI,11669,1506,4469267,896724
West Virginia,WV,6224,643,1459974,336326
Wyoming,WY,1951,102,444842,84239
